volts,time,
2434,12:37:54:193,
2495,12:37:54:198,
2367,12:37:54:206,
2263,12:37:54:208,
2160,12:37:54:213,
2253,12:37:54:219,
2143,12:37:54:223,
2169,12:37:54:228,
2079,12:37:54:233,
2123,12:37:54:238,
2352,12:37:54:243,
2155,12:37:54:248,
2214,12:37:54:253,
2143,12:37:54:258,
2256,12:37:54:263,
2180,12:37:54:268,
2081,12:37:54:273,
2167,12:37:54:278,
2017,12:37:54:283,
1945,12:37:54:288,
2083,12:37:54:293,
1991,12:37:54:299,
2381,12:37:54:303,
2183,12:37:54:308,
2197,12:37:54:313,
2066,12:37:54:318,
1983,12:37:54:323,
2068,12:37:54:331,
1936,12:37:54:333,
2032,12:37:54:338,
2417,12:37:54:343,
2209,12:37:54:348,
2775,12:37:54:353,
2655,12:37:54:361,
2667,12:37:54:363,
2631,12:37:54:368,
2455,12:37:54:373,
2559,12:37:54:378,
2385,12:37:54:383,
2451,12:37:54:388,
2787,12:37:54:393,
2731,12:37:54:398,
2691,12:37:54:403,
2479,12:37:54:408,
2483,12:37:54:413,
2559,12:37:54:418,
2422,12:37:54:424,
2623,12:37:54:428,
2431,12:37:54:433,
2545,12:37:54:438,
2629,12:37:54:443,
2441,12:37:54:449,
2524,12:37:54:455,
2335,12:37:54:459,
2443,12:37:54:464,
2620,12:37:54:469,
2489,12:37:54:474,
2461,12:37:54:478,
2378,12:37:54:483,
2288,12:37:54:488,
1648,12:37:54:493,
1863,12:37:54:498,
2087,12:37:54:503,
1870,12:37:54:508,
2193,12:37:54:513,
2302,12:37:54:518,
2155,12:37:54:524,
2202,12:37:54:529,
2230,12:37:54:533,
2207,12:37:54:539,
2455,12:37:54:543,
2543,12:37:54:549,
2391,12:37:54:553,
2367,12:37:54:558,
2334,12:37:54:563,
2393,12:37:54:569,
2282,12:37:54:573,
2127,12:37:54:580,
2191,12:37:54:583,
2144,12:37:54:588,
2178,12:37:54:594,
1977,12:37:54:599,
2309,12:37:54:603,
1851,12:37:54:611,
3115,12:37:54:613,
2487,12:37:54:618,
2358,12:37:54:623,
2537,12:37:54:628,
2341,12:37:54:633,
2350,12:37:54:638,
2517,12:37:54:643,
2307,12:37:54:648,
2258,12:37:54:653,
1813,12:37:54:658,
2106,12:37:54:663,
2031,12:37:54:668,
1917,12:37:54:675,
1991,12:37:54:679,
2109,12:37:54:683,
2161,12:37:54:688,
2379,12:37:54:693,
2192,12:37:54:698,
2831,12:37:54:706,
2594,12:37:54:708,
2679,12:37:54:713,
2625,12:37:54:718,
2523,12:37:54:723,
2647,12:37:54:728,
2427,12:37:54:733,
